Region,Region Name,Country,NERC Region,CO2e (metric gram/kWh),Source,PUE,Dataset Source
us-east-1,US East (N. Virginia),United States,SERC,"415,755",EPA,"1,2",https://github.com/cloud-carbon-footprint/cloud-carbon-footprint/blob/075dfafa0333734f31519cf2e4c5725be6fa6c38/microsite/docs/Methodology.md
us-east-2,US East (Ohio),United States,RFC,"440,187",EPA,"1,2",
us-west-1,US West (N. California),United States,WECC,"350,861",EPA,"1,2",
us-west-2,US West (Oregon),United States,WECC,"350,861",EPA,"1,2",
af-south-1,Africa (Cape Town),South Africa,,928,carbonfootprint.com,"1,2",
ap-east-1,Asia Pacific (Hong Kong),Hong Kong,,810,carbonfootprint.com,"1,2",
ap-south-1,Asia Pacific (Mumbai),India,,708,carbonfootprint.com,"1,2",
ap-northeast-3,Asia Pacific (Osaka),Japan,,506,carbonfootprint.com,"1,2",
ap-northeast-2,Asia Pacific (Seoul),South Korea,,500,carbonfootprint.com,"1,2",
ap-southeast-1,Asia Pacific (Singapore),Singapore,,"408,5",EMA Singapore,"1,2",
ap-southeast-2,Asia Pacific (Sydney),Australia,,790,carbonfootprint.com,"1,2",
ap-northeast-1,Asia Pacific (Tokyo),Japan,,506,carbonfootprint.com,"1,2",
ca-central-1,Canada (Central),Canada,,130,carbonfootprint.com,"1,2",
cn-north-1,China (Beijing),China,,555,carbonfootprint.com,"1,2",
cn-northwest-1,China (Ningxia),China,,555,carbonfootprint.com,"1,2",
eu-central-1,Europe (Frankfurt),Germany,,338,EEA,"1,2",
eu-west-1,Europe (Ireland),Ireland,,316,EEA,"1,2",
eu-west-2,Europe (London),England,,228,EEA,"1,2",
eu-south-1,Europe (Milan),Italy,,233,EEA,"1,2",
eu-west-3,Europe (Paris),France,,52,EEA,"1,2",
eu-north-1,Europe (Stockholm),Sweden,,8,EEA,"1,2",
me-south-1,Middle East (Bahrain),Bahrain,,732,carbonfootprint.com,"1,2",
sa-east-1,South America (Ṣo Paulo),Brazil,,74,carbonfootprint.com,"1,2",